ds,forecast,item
2024-12-21,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-22,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-23,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-24,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-25,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-26,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-27,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-28,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-29,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-30,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-31,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-01,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-02,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-03,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-04,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-05,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-06,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-07,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-08,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-09,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-10,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-11,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-12,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-13,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-14,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-15,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-16,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-17,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-18,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-19,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-20,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-21,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-22,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-23,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-24,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-25,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-26,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-27,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-28,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-29,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-30,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2025-01-31,0.0,"ВердиоГаст® Растительный комплекс для улучшения пищеварения (БАД ),  капсулы"
2024-12-21,332.89270703751515,Валериана корневища с корнями 50г
2024-12-22,337.5331511892458,Валериана корневища с корнями 50г
2024-12-23,321.7296439343401,Валериана корневища с корнями 50г
2024-12-24,343.3102185118696,Валериана корневища с корнями 50г
2024-12-25,338.4019579447467,Валериана корневища с корнями 50г
2024-12-26,343.1222473122817,Валериана корневища с корнями 50г
2024-12-27,342.97237611009314,Валериана корневища с корнями 50г
2024-12-28,334.71594215996646,Валериана корневища с корнями 50г
2024-12-29,317.1007624962493,Валериана корневища с корнями 50г
2024-12-30,327.72824931300283,Валериана корневища с корнями 50г
2024-12-31,331.0002791010738,Валериана корневища с корнями 50г
2025-01-01,313.4099596175737,Валериана корневища с корнями 50г
2025-01-02,333.273888204015,Валериана корневища с корнями 50г
2025-01-03,333.273888204015,Валериана корневища с корнями 50г
2025-01-04,333.273888204015,Валериана корневища с корнями 50г
2025-01-05,333.273888204015,Валериана корневища с корнями 50г
2025-01-06,333.273888204015,Валериана корневища с корнями 50г
2025-01-07,333.273888204015,Валериана корневища с корнями 50г
2025-01-08,333.273888204015,Валериана корневища с корнями 50г
2025-01-09,333.273888204015,Валериана корневища с корнями 50г
2025-01-10,333.273888204015,Валериана корневища с корнями 50г
2025-01-11,333.273888204015,Валериана корневища с корнями 50г
2025-01-12,333.273888204015,Валериана корневища с корнями 50г
2025-01-13,333.273888204015,Валериана корневища с корнями 50г
2025-01-14,333.273888204015,Валериана корневища с корнями 50г
2025-01-15,333.273888204015,Валериана корневища с корнями 50г
2025-01-16,333.273888204015,Валериана корневища с корнями 50г
2025-01-17,333.273888204015,Валериана корневища с корнями 50г
2025-01-18,333.273888204015,Валериана корневища с корнями 50г
2025-01-19,333.273888204015,Валериана корневища с корнями 50г
2025-01-20,333.273888204015,Валериана корневища с корнями 50г
2025-01-21,333.273888204015,Валериана корневища с корнями 50г
2025-01-22,333.273888204015,Валериана корневища с корнями 50г
2025-01-23,333.273888204015,Валериана корневища с корнями 50г
2025-01-24,333.273888204015,Валериана корневища с корнями 50г
2025-01-25,333.273888204015,Валериана корневища с корнями 50г
2025-01-26,333.273888204015,Валериана корневища с корнями 50г
2025-01-27,333.273888204015,Валериана корневища с корнями 50г
2025-01-28,333.273888204015,Валериана корневища с корнями 50г
2025-01-29,333.273888204015,Валериана корневища с корнями 50г
2025-01-30,333.273888204015,Валериана корневища с корнями 50г
2025-01-31,333.273888204015,Валериана корневища с корнями 50г
2024-12-21,674.7556782468425,Девясил корневища и корни 50г
2024-12-22,503.5942674385618,Девясил корневища и корни 50г
2024-12-23,450.76784551049286,Девясил корневища и корни 50г
2024-12-24,438.4645175617667,Девясил корневища и корни 50г
2024-12-25,435.31458076624966,Девясил корневища и корни 50г
2024-12-26,434.5349300190509,Девясил корневища и корни 50г
2024-12-27,434.339658448417,Девясил корневища и корни 50г
2024-12-28,434.29095440224137,Девясил корневища и корни 50г
2024-12-29,434.278788934442,Девясил корневища и корни 50г
